company,price,change
Bitcoin USD (BTC-USD),"54,860.55",(+0.68%)
Tether USDt USD (USDT-USD),1.00,(+0.00%)
BNB USD (BNB-USD),574.61,(+2.33%)
Solana USD (SOL-USD),141.59,(+4.52%)
USD Coin USD (USDC-USD),1.00,(-0.01%)
XRP USD (XRP-USD),0.59,(+0.49%)
Wrapped Bitcoin USD (WBTC-USD),"63,105.71",(+1.64%)
WETH USD (WETH-USD),"2,516.97",(+4.55%)
Bitcoin Cash USD (BCH-USD),344.48,(-0.14%)
UNUS SED LEO USD (LEO-USD),5.73,(-0.13%)
Dai USD (DAI-USD),1.00,(+0.01%)
NEAR Protocol USD (NEAR-USD),4.46,(-2.00%)
Litecoin USD (LTC-USD),66.22,(+1.77%)
